,StockCode,Description,count,up_min,up_max,up_mean,up_std,qt_min,qt_max,qt_mean,qt_std,prob
0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2313,0.0,5.91,3.1032382187634315,0.817211015169144,-1930,4000,16.787721573713792,117.30186632042401,0.5683046683046683
1,71053,WHITE METAL LANTERN,355,3.39,8.47,4.7774929577464755,1.9595944385639663,-16,120,5.383098591549296,9.305532433688738,0.08722358722358722
2,84406B,CREAM CUPID HEARTS COAT HANGER,296,0.0,8.29,4.254966216216216,1.4614770792222755,-450,128,4.804054054054054,30.638440192138336,0.07272727272727272
3,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,474,0.0,8.47,5.17654008438818,1.9521110845826688,-8,280,7.571729957805907,17.670705394415517,0.11646191646191646
4,84029E,RED WOOLLY HOTTIE WHITE HEART.,452,0.0,13.13,5.068207964601779,2.0937582503137335,-50,408,10.309734513274336,33.56691160498004,0.11105651105651106
5,22752,SET 7 BABUSHKA NESTING BOXES,389,3.95,16.98,9.767352185089987,3.3778369415939102,-96,96,4.282776349614396,10.962317673141108,0.09557739557739557
6,21730,GLASS STAR FROSTED T-LIGHT HOLDER,141,4.25,10.17,5.322836879432631,1.5833650090149933,-3,18,3.574468085106383,3.996845260511615,0.034643734643734644
7,22633,HAND WARMER UNION JACK,516,0.0,4.95,2.1889922480620236,0.4805992941039227,-53,192,9.279069767441861,18.528477895217655,0.12678132678132678
8,22632,HAND WARMER RED POLKA DOT,415,0.0,4.21,2.1966265060241104,0.5317355530050157,-84,192,10.520481927710843,21.157768065787057,0.10196560196560196
9,84879,ASSORTED COLOUR BIRD ORNAMENT,1502,0.0,3.19,1.7208854860186809,0.25538220015686064,-160,2880,24.115179760319574,88.84527221151428,0.36904176904176905
10,22745,POPPY'S PLAYHOUSE BEDROOM ,436,1.85,4.95,2.535045871559643,0.8060941719073001,-6,60,4.623853211009174,7.44949461012085,0.10712530712530713
11,22748,POPPY'S PLAYHOUSE KITCHEN,451,1.85,5.06,2.471507760532161,0.7853383909328344,-6,60,4.674057649667406,7.610677656278727,0.11081081081081082
12,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,469,3.39,8.95,4.107846481876336,1.1316691448055414,1,144,5.063965884861407,10.429871735025797,0.11523341523341524
13,22310,IVORY KNITTED MUG COSY ,111,1.45,3.36,2.5836936936936943,0.8344229665713231,1,150,6.018018018018018,15.882512957785298,0.02727272727272727
14,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,214,0.0,8.47,4.613084112149527,1.9539032374804364,-50,24,2.369158878504673,4.599365361711075,0.05257985257985258
15,22623,BOX OF VINTAGE JIGSAW BLOCKS ,243,0.0,12.46,6.163497942386856,1.8549071914910826,-6,72,3.802469135802469,6.886481702713807,0.0597051597051597
16,22622,BOX OF VINTAGE ALPHABET BLOCKS,272,8.5,24.96,12.367132352941136,3.625418547276255,-6,156,4.886029411764706,11.978681387886127,0.06683046683046683
17,21754,HOME BUILDING BLOCK WORD,806,5.45,11.87,6.608858560794,1.7680891710024307,-9,36,3.424317617866005,3.831365060840375,0.19803439803439804
18,21755,LOVE BUILDING BLOCK WORD,656,5.45,12.46,6.670213414634116,1.893803382638913,-3,27,3.0945121951219514,3.321486893174567,0.16117936117936119
19,21777,RECIPE BOX WITH METAL HEART,10,0.0,7.95,6.360000000000001,3.3520143197784824,-10,5,0.2,4.315347288715269,0.002457002457002457
20,48187,DOORMAT NEW ENGLAND,608,4.58,16.98,8.460707236842067,2.0659064235153153,-2,500,6.292763157894737,29.415276045619986,0.1493857493857494
